epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3639.79,0.60717,0.52476,1.06421,0.90986,0.79248,0.89971,0.6802,0.8759,0.65593,1.21448,0.0005876,0.0005876,0.0005876
109,3666.87,0.58651,0.49917,1.03989,0.88878,0.84298,0.90794,0.69175,0.86077,0.60836,1.21053,0.0005744,0.0005744,0.0005744
110,3693.97,0.57643,0.49536,1.03563,0.86897,0.84955,0.89981,0.6885,0.86673,0.62148,1.24512,0.0005612,0.0005612,0.0005612
111,3721.72,0.58416,0.4999,1.04781,0.88093,0.79489,0.88516,0.67657,0.91165,0.66027,1.28736,0.000548,0.000548,0.000548
112,3751,0.58901,0.52057,1.04751,0.88699,0.81087,0.89205,0.67497,0.85383,0.62215,1.23317,0.0005348,0.0005348,0.0005348
113,3778.42,0.58674,0.50534,1.03716,0.87366,0.78512,0.88168,0.68061,0.88014,0.64717,1.24874,0.0005216,0.0005216,0.0005216
114,3806.27,0.54269,0.46657,1.00253,0.91265,0.82032,0.90674,0.69245,0.86656,0.60624,1.22194,0.0005084,0.0005084,0.0005084
115,3834.28,0.59705,0.50384,1.0523,0.92954,0.82231,0.91025,0.69025,0.87973,0.62994,1.24151,0.0004952,0.0004952,0.0004952
116,3862.08,0.55034,0.46616,1.02018,0.90964,0.83196,0.9041,0.68952,0.86383,0.60572,1.22997,0.000482,0.000482,0.000482
117,3890.44,0.59301,0.51157,1.04769,0.91298,0.80992,0.90625,0.69177,0.87443,0.6159,1.22038,0.0004688,0.0004688,0.0004688
118,3917.49,0.56716,0.48625,1.03504,0.93267,0.80137,0.91325,0.69051,0.88715,0.58911,1.24558,0.0004556,0.0004556,0.0004556
119,3944.75,0.56487,0.46986,1.02008,0.89548,0.81429,0.90447,0.68614,0.89741,0.61854,1.25208,0.0004424,0.0004424,0.0004424
120,3973.72,0.53883,0.46572,1.00749,0.90756,0.81143,0.9003,0.6914,0.91486,0.60638,1.2701,0.0004292,0.0004292,0.0004292
121,4002.38,0.57327,0.49015,1.04497,0.88094,0.82645,0.90442,0.70065,0.87869,0.61318,1.25338,0.000416,0.000416,0.000416
122,4030.18,0.55731,0.47675,1.02763,0.88163,0.81818,0.90329,0.69043,0.87335,0.61205,1.23768,0.0004028,0.0004028,0.0004028
123,4059.38,0.57973,0.49033,1.04973,0.93144,0.79339,0.91065,0.69676,0.87462,0.61602,1.22403,0.0003896,0.0003896,0.0003896
124,4086.62,0.53178,0.45716,1.00863,0.92031,0.81131,0.90911,0.69553,0.87595,0.59672,1.22907,0.0003764,0.0003764,0.0003764
125,4113.82,0.54421,0.46702,1.0144,0.91244,0.81812,0.90131,0.69595,0.87924,0.62573,1.22662,0.0003632,0.0003632,0.0003632
126,4141.62,0.54419,0.4765,1.01648,0.89878,0.82231,0.90964,0.69618,0.88414,0.61004,1.25458,0.00035,0.00035,0.00035
127,4169.57,0.5527,0.49088,1.0262,0.93571,0.82645,0.91407,0.70268,0.88316,0.59414,1.23541,0.0003368,0.0003368,0.0003368
128,4198.58,0.54286,0.47749,1.01366,0.88956,0.83058,0.90206,0.70278,0.88654,0.61192,1.24806,0.0003236,0.0003236,0.0003236
129,4226.36,0.54035,0.4772,1.02095,0.94126,0.78926,0.91007,0.70951,0.87025,0.60314,1.23161,0.0003104,0.0003104,0.0003104
130,4255.38,0.52076,0.45635,1.00027,0.87864,0.83058,0.91578,0.71226,0.85656,0.60619,1.21971,0.0002972,0.0002972,0.0002972
131,4284.49,0.5406,0.46516,1.01555,0.90474,0.82413,0.91679,0.70815,0.85565,0.59279,1.22232,0.000284,0.000284,0.000284
132,4313.02,0.51298,0.44312,0.99582,0.8789,0.83973,0.9044,0.71258,0.85612,0.598,1.22656,0.0002708,0.0002708,0.0002708
133,4340.92,0.53243,0.46025,1.01452,0.89014,0.83705,0.90681,0.7079,0.87122,0.62094,1.22464,0.0002576,0.0002576,0.0002576
134,4368.96,0.51508,0.45061,0.99646,0.87467,0.83631,0.9069,0.70716,0.87299,0.59779,1.24489,0.0002444,0.0002444,0.0002444
135,4396.7,0.5087,0.43577,0.99097,0.8604,0.84045,0.9025,0.70307,0.86604,0.59291,1.2365,0.0002312,0.0002312,0.0002312
136,4426.36,0.50924,0.43291,1.00071,0.87761,0.86364,0.91428,0.70987,0.86377,0.56935,1.2327,0.000218,0.000218,0.000218
137,4453.74,0.51678,0.45006,1.00853,0.89287,0.84711,0.92195,0.71585,0.87248,0.57239,1.23267,0.0002048,0.0002048,0.0002048
138,4482.39,0.52671,0.45158,1.02097,0.8889,0.84298,0.91643,0.7123,0.87992,0.58917,1.23858,0.0001916,0.0001916,0.0001916
139,4510.16,0.50279,0.43365,0.99538,0.87958,0.8595,0.91496,0.71117,0.86494,0.57944,1.23386,0.0001784,0.0001784,0.0001784
140,4538.19,0.52333,0.45408,1.00698,0.87504,0.83471,0.91249,0.71041,0.86644,0.58185,1.24329,0.0001652,0.0001652,0.0001652
141,4568.41,0.30284,0.26348,0.85172,0.87203,0.83471,0.91477,0.71343,0.8583,0.58688,1.23122,0.000152,0.000152,0.000152
142,4593.9,0.30188,0.25957,0.84448,0.91124,0.80579,0.91397,0.70996,0.85893,0.59146,1.24034,0.0001388,0.0001388,0.0001388
143,4618.85,0.30238,0.25685,0.85049,0.93236,0.79339,0.91344,0.71227,0.85667,0.58076,1.24132,0.0001256,0.0001256,0.0001256
144,4644.8,0.29588,0.25169,0.84611,0.91543,0.80513,0.91154,0.70748,0.86357,0.593,1.24202,0.0001124,0.0001124,0.0001124
145,4670.12,0.29503,0.25456,0.83725,0.89659,0.82405,0.91479,0.71207,0.85827,0.59319,1.23971,9.92e-05,9.92e-05,9.92e-05
146,4695.07,0.29259,0.24992,0.84357,0.90177,0.82231,0.91506,0.71015,0.85818,0.59313,1.24349,8.6e-05,8.6e-05,8.6e-05
147,4720.05,0.28416,0.24543,0.83814,0.86911,0.85124,0.91033,0.70999,0.86309,0.58697,1.25013,7.28e-05,7.28e-05,7.28e-05
148,4743.09,0.28579,0.2449,0.83986,0.87876,0.8386,0.91077,0.71243,0.86258,0.58687,1.24981,5.96e-05,5.96e-05,5.96e-05
149,4768.18,0.27894,0.24223,0.84133,0.89477,0.84326,0.91507,0.71233,0.8625,0.58781,1.25048,4.64e-05,4.64e-05,4.64e-05
150,4793.12,0.28434,0.24812,0.83522,0.90034,0.84298,0.91867,0.71377,0.86778,0.58621,1.25332,3.32e-05,3.32e-05,3.32e-05
